DTCR I5_OHLC_NE Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE FTSE100_OHLC_NE BVSP_OHLC_NE BSESN_OHLC_NE Nickel_OHLC_NE NIKKEI225_OHLC_NE VIX_OHLC_NE
11.04.2005 45270.55876 428.765 50.671 10381.57 1235.8465 4952.185 25691.6 6417.9365 15924 11625.143 13.306
18.04.2005 43941.29456 432.995 50.985 10114.288 1187.948 4839.01 25115 6231.5335 16070 11050.3005 15.8005
25.04.2005 43917.91552 435.455 51.7615 10167.5895 1159.2005 4823.58 24978.8 6299.826 16367 11012.268 15.189
02.05.2005 43406.58604 430.065 49.7655 10304.416 1159.15 4860.995 25122.1 6275.2665 16451 11011.9205 14.4905
09.05.2005 42988.72068 425.635 49.1225 10274.1675 1124.3195 4893.925 24736.9 6446.1045 17407 11118.2455 14.977
16.05.2005 42366.86764 420.205 47.0465 10365.8665 1098.595 4925.44 24510.35 6479.9145 16869 10974.6955 14.443
23.05.2005 43732.87948 418.1 48.242 10504.312 1069.3995 4982.535 24523.3 6601.9875 16961 11099.0095 12.6235
30.05.2005 44122.63272 418.83 50.764 10520.8655 1040.5995 4992.97 25820.15 6701.374 17022 11278.463 12.4185
06.06.2005 44777.35316 426.165 51.7915 10489.9085 1076.018 5006.445 25072.3 6801.3985 16696 11240.512 12.3315
13.06.2005 45680.25412 432.585 53.831 10560.2385 1090.278 5044.175 25456.3 6869.007 16656 11394.1055 11.4695
20.06.2005 46652.53404 440.645 56.931 10536.248 1099.837 5089.135 25524.3 7072.569 15767 11512.323 11.618
27.06.2005 47036.75744 437.9 56.551 10337.8215 1099.565 5095.82 25166.7 7144.391 14702 11526.905 11.925
04.07.2005 49111.78516 426.555 57.7215 10319.8325 1037.051 5185.265 24679.45 7231.2615 14651 11618.0455 12.108
11.07.2005 50300.87512 424.16 57.2585 10557.4635 1032.62 5241.61 25445.2 7259.121 14858 11722.933 10.8915
18.07.2005 50249.4448 422.695 56.65 10633.886 1020.567 5219.82 25439.9 7346.1895 14509 11772.4095 10.6765
25.07.2005 51666.35144 425.795 58.259 10636.8655 1071.8295 5267.325 25295.3 7551.4445 14285 11811.331 10.839
01.08.2005 53183.46012 434.355 60.434 10640.957 1102.2925 5312.8 26561.3 7744.3295 14357 11912.6905 12.0245
08.08.2005 54477.67048 440.595 63.773 10607.5795 1157.856 5355.565 26884.7 7713.0535 14863 12026.059 12.4805
